login,password
group4user1999@pochta.ru,TalrIvsp#Uc7D
group4user2000@pochta.ru,TalrIvsp#Uc7D
group4user2001@pochta.ru,TalrIvsp#Uc7D
group4user2002@pochta.ru,TalrIvsp#Uc7D
group4user2003@pochta.ru,TalrIvsp#Uc7D
group4user2004@pochta.ru,TalrIvsp#Uc7D
group4user2005@pochta.ru,TalrIvsp#Uc7D
group4user2006@pochta.ru,TalrIvsp#Uc7D
group4user2007@pochta.ru,TalrIvsp#Uc7D
group4user2008@pochta.ru,TalrIvsp#Uc7D
group4user2009@pochta.ru,TalrIvsp#Uc7D
group4user2010@pochta.ru,TalrIvsp#Uc7D
group4user2011@pochta.ru,TalrIvsp#Uc7D
group4user2012@pochta.ru,TalrIvsp#Uc7D
group4user2013@pochta.ru,TalrIvsp#Uc7D
group4user2014@pochta.ru,TalrIvsp#Uc7D
group4user2015@pochta.ru,TalrIvsp#Uc7D
group4user2016@pochta.ru,TalrIvsp#Uc7D
group4user2017@pochta.ru,TalrIvsp#Uc7D
group4user2018@pochta.ru,TalrIvsp#Uc7D
group4user2019@pochta.ru,TalrIvsp#Uc7D
group4user2020@pochta.ru,TalrIvsp#Uc7D
group4user2021@pochta.ru,TalrIvsp#Uc7D
group4user2022@pochta.ru,TalrIvsp#Uc7D
group4user2023@pochta.ru,TalrIvsp#Uc7D
group4user2024@pochta.ru,TalrIvsp#Uc7D
group4user2025@pochta.ru,TalrIvsp#Uc7D
group4user2026@pochta.ru,TalrIvsp#Uc7D
group4user2027@pochta.ru,TalrIvsp#Uc7D
group4user2028@pochta.ru,TalrIvsp#Uc7D
group4user2029@pochta.ru,TalrIvsp#Uc7D
group4user2030@pochta.ru,TalrIvsp#Uc7D
group4user2031@pochta.ru,TalrIvsp#Uc7D
group4user2032@pochta.ru,TalrIvsp#Uc7D
group4user2033@pochta.ru,TalrIvsp#Uc7D
group4user2034@pochta.ru,TalrIvsp#Uc7D
group4user2035@pochta.ru,TalrIvsp#Uc7D
group4user2036@pochta.ru,TalrIvsp#Uc7D
group4user2037@pochta.ru,TalrIvsp#Uc7D
group4user2038@pochta.ru,TalrIvsp#Uc7D
group4user2039@pochta.ru,TalrIvsp#Uc7D
group4user2040@pochta.ru,TalrIvsp#Uc7D
group4user2041@pochta.ru,TalrIvsp#Uc7D
group4user2042@pochta.ru,TalrIvsp#Uc7D
group4user2043@pochta.ru,TalrIvsp#Uc7D
group4user2044@pochta.ru,TalrIvsp#Uc7D
group4user2045@pochta.ru,TalrIvsp#Uc7D
group4user2046@pochta.ru,TalrIvsp#Uc7D
group4user2047@pochta.ru,TalrIvsp#Uc7D
group4user2048@pochta.ru,TalrIvsp#Uc7D
group4user2049@pochta.ru,TalrIvsp#Uc7D
group4user2050@pochta.ru,TalrIvsp#Uc7D
group4user2051@pochta.ru,TalrIvsp#Uc7D
group4user2052@pochta.ru,TalrIvsp#Uc7D
group4user2053@pochta.ru,TalrIvsp#Uc7D
group4user2054@pochta.ru,TalrIvsp#Uc7D
group4user2055@pochta.ru,TalrIvsp#Uc7D
group4user2056@pochta.ru,TalrIvsp#Uc7D
group4user2057@pochta.ru,TalrIvsp#Uc7D
group4user2058@pochta.ru,TalrIvsp#Uc7D
group4user2059@pochta.ru,TalrIvsp#Uc7D
group4user2060@pochta.ru,TalrIvsp#Uc7D
group4user2061@pochta.ru,TalrIvsp#Uc7D
group4user2062@pochta.ru,TalrIvsp#Uc7D
group4user2063@pochta.ru,TalrIvsp#Uc7D
group4user2064@pochta.ru,TalrIvsp#Uc7D
group4user2065@pochta.ru,TalrIvsp#Uc7D
group4user2066@pochta.ru,TalrIvsp#Uc7D
group4user2067@pochta.ru,TalrIvsp#Uc7D
group4user2068@pochta.ru,TalrIvsp#Uc7D
group4user2069@pochta.ru,TalrIvsp#Uc7D
group4user2070@pochta.ru,TalrIvsp#Uc7D
group4user2071@pochta.ru,TalrIvsp#Uc7D
group4user2072@pochta.ru,TalrIvsp#Uc7D
group4user2073@pochta.ru,TalrIvsp#Uc7D
group4user2074@pochta.ru,TalrIvsp#Uc7D
